date,cases_0_to_9,cases_10_to_19,cases_0_to_19,cases_20_to_29,cases_30_to_39,cases_40_to_49,cases_50_to_59,cases_60_to_69,cases_70_to_79,cases_80_and_over,cases_Not_available,cases_Total,new_cases_0_to_9,new_cases_10_to_19,new_cases_0_to_19,new_cases_20_to_29,new_cases_30_to_39,new_cases_40_to_49,new_cases_50_to_59,new_cases_60_to_69,new_cases_70_to_79,new_cases_80_and_over,new_cases_Not_available,new_cases_Total,new_cases_0_to_29,new_case_prcnt_0_to_29,new_cases_30_to_59,new_case_prcnt_30_to_59,new_cases_60_and_over,new_case_prcnt_60_and_over,hosp_0_to_9,hosp_10_to_19,hosp_0_to_19,hosp_20_to_29,hosp_30_to_39,hosp_40_to_49,hosp_50_to_59,hosp_60_to_69,hosp_70_to_79,hosp_80_and_over,hosp_Not_available,hosp_Total,death_0_to_9,death_10_to_19,death_0_to_19,death_20_to_29,death_30_to_39,death_40_to_49,death_50_to_59,death_60_to_69,death_70_to_79,death_80_and_over,death_Not_available,death_Total,p_hosp_0_to_9,p_hosp_10_to_19,p_hosp_0_to_19,p_hosp_20_to_29,p_hosp_30_to_39,p_hosp_40_to_49,p_hosp_50_to_59,p_hosp_60_to_69,p_hosp_70_to_79,p_hosp_80_and_over,p_hosp_Not_available,p_hosp_Total,p_death_0_to_9,p_death_10_to_19,p_death_0_to_19,p_death_20_to_29,p_death_30_to_39,p_death_40_to_49,p_death_50_to_59,p_death_60_to_69,p_death_70_to_79,p_death_80_and_over,p_death_Not_available,p_death_Total,cases_overall_prcnt_0_to_9,cases_overall_prcnt_10_to_19,cases_overall_prcnt_0_to_19,cases_overall_prcnt_20_to_29,cases_overall_prcnt_30_to_39,cases_overall_prcnt_40_to_49,cases_overall_prcnt_50_to_59,cases_overall_prcnt_60_to_69,cases_overall_prcnt_70_to_79,cases_overall_prcnt_80_and_over,cases_overall_prcnt_Not_available,cases_overall_prcnt_Total,hosp_overall_prcnt_0_to_9,hosp_overall_prcnt_10_to_19,hosp_overall_prcnt_0_to_19,hosp_overall_prcnt_20_to_29,hosp_overall_prcnt_30_to_39,hosp_overall_prcnt_40_to_49,hosp_overall_prcnt_50_to_59,hosp_overall_prcnt_60_to_69,hosp_overall_prcnt_70_to_79,hosp_overall_prcnt_80_and_over,hosp_overall_prcnt_Not_available,hosp_overall_prcnt_Total,death_overall_prcnt_0_to_9,death_overall_prcnt_10_to_19,death_overall_prcnt_0_to_19,death_overall_prcnt_20_to_29,death_overall_prcnt_30_to_39,death_overall_prcnt_40_to_49,death_overall_prcnt_50_to_59,death_overall_prcnt_60_to_69,death_overall_prcnt_70_to_79,death_overall_prcnt_80_and_over,death_overall_prcnt_Not_available,death_overall_prcnt_Total
2020_03_26,,,5,19,39,63,52,70,40,27,1,316,,,{},{},{},{},{},{},{},{},{},{},0,0,0,0,0,0,,,0,3,4,14,12,28,21,8,0,90,,,0,0,0,0,0,3,5,3,0,11,,,0.0,15.789473684210526,10.256410256410255,22.22222222222222,23.076923076923077,40.0,52.5,29.629629629629626,0.0,28.48101265822785,,,0.0,0.0,0.0,0.0,0.0,4.285714285714286,12.5,11.11111111111111,0.0,3.481012658227848,,,1.5822784810126582,6.012658227848101,12.341772151898734,19.936708860759495,16.455696202531644,22.151898734177216,12.658227848101266,8.544303797468354,0.31645569620253167,100.0,,,0.0,3.3333333333333335,4.444444444444445,15.555555555555555,13.333333333333334,31.11111111111111,23.333333333333332,8.88888888888889,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,27.272727272727273,45.45454545454545,27.272727272727273,0.0,100.0
2020_03_27,,,9,32,48,81,78,84,47,35,0,414,,,4,13,9,18,26,14,7,8,-1,98,17,17.346938775510203,53,54.08163265306123,29,29.591836734693878,,,0,3,6,17,15,29,21,11,0,102,,,0,0,0,0,0,3,5,4,0,12,,,0.0,9.375,12.5,20.98765432098765,19.230769230769234,34.523809523809526,44.680851063829785,31.428571428571427,0,24.637681159420293,,,0.0,0.0,0.0,0.0,0.0,3.571428571428571,10.638297872340425,11.428571428571429,0,2.898550724637681,,,2.1739130434782608,7.729468599033816,11.594202898550725,19.565217391304348,18.840579710144926,20.28985507246377,11.352657004830919,8.454106280193237,0.0,100.0,,,0.0,2.9411764705882355,5.882352941176471,16.666666666666668,14.705882352941176,28.431372549019606,20.58823529411765,10.784313725490197,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,25.0,41.666666666666664,33.333333333333336,0.0,100.0
2020_03_28,,,10,39,60,95,91,92,49,42,1,479,,,1,7,12,14,13,8,2,7,1,65,8,12.307692307692308,39,60.0,17,26.153846153846153,,,0,3,5,21,16,33,23,16,0,117,,,0,0,0,0,0,3,5,5,0,13,,,0.0,7.6923076923076925,8.333333333333332,22.105263157894736,17.582417582417584,35.869565217391305,46.93877551020408,38.095238095238095,0.0,24.4258872651357,,,0.0,0.0,0.0,0.0,0.0,3.260869565217391,10.204081632653061,11.904761904761903,0.0,2.7139874739039667,,,2.0876826722338206,8.1419624217119,12.526096033402922,19.832985386221296,18.997912317327767,19.206680584551147,10.22964509394572,8.768267223382045,0.20876826722338204,100.0,,,0.0,2.5641025641025643,4.273504273504273,17.94871794871795,13.675213675213675,28.205128205128204,19.65811965811966,13.675213675213675,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,23.076923076923077,38.46153846153846,38.46153846153846,0.0,100.0
2020_03_29,,,10,49,70,103,109,101,59,45,2,548,,,0,10,10,8,18,9,10,3,1,69,10,14.492753623188406,36,52.17391304347826,22,31.884057971014492,,,0,4,6,25,17,34,25,18,0,129,,,0,0,0,0,0,3,5,5,0,13,,,0.0,8.16326530612245,8.571428571428571,24.271844660194176,15.59633027522936,33.663366336633665,42.3728813559322,40.0,0.0,23.54014598540146,,,0.0,0.0,0.0,0.0,0.0,2.9702970297029703,8.47457627118644,11.11111111111111,0.0,2.3722627737226274,,,1.8248175182481752,8.941605839416058,12.773722627737227,18.795620437956206,19.89051094890511,18.43065693430657,10.766423357664234,8.211678832116789,0.36496350364963503,100.0,,,0.0,3.10077519379845,4.651162790697675,19.37984496124031,13.178294573643411,26.356589147286822,19.37984496124031,13.953488372093023,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,23.076923076923077,38.46153846153846,38.46153846153846,0.0,100.0
2020_03_30,,,13,58,82,117,115,108,64,48,1,606,,,3,9,12,14,6,7,5,3,-1,58,12,20.689655172413794,32,55.172413793103445,15,25.862068965517242,,,0,6,6,25,19,37,28,19,0,140,,,0,0,0,0,0,3,5,8,0,16,,,0.0,10.344827586206897,7.317073170731707,21.367521367521366,16.52173913043478,34.25925925925926,43.75,39.58333333333333,0.0,23.1023102310231,,,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,7.8125,16.666666666666664,0.0,2.6402640264026402,,,2.145214521452145,9.570957095709572,13.531353135313532,19.306930693069308,18.976897689768975,17.821782178217823,10.561056105610561,7.920792079207921,0.16501650165016502,100.0,,,0.0,4.285714285714286,4.285714285714286,17.857142857142858,13.571428571428571,26.428571428571427,20.0,13.571428571428571,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,18.75,31.25,50.0,0.0,100.0
2020_03_31,,,13,72,96,130,135,120,70,52,2,690,,,0,14,14,13,20,12,6,4,1,84,14,16.666666666666668,47,55.95238095238095,22,26.19047619047619,,,0,7,6,26,23,40,29,23,0,154,,,0,0,0,0,0,3,5,10,0,18,,,0.0,9.722222222222223,6.25,20.0,17.037037037037038,33.33333333333333,41.42857142857143,44.230769230769226,0.0,22.318840579710145,,,0.0,0.0,0.0,0.0,0.0,2.5,7.142857142857142,19.230769230769234,0.0,2.608695652173913,,,1.8840579710144927,10.434782608695652,13.91304347826087,18.840579710144926,19.565217391304348,17.391304347826086,10.144927536231885,7.536231884057971,0.2898550724637681,100.0,,,0.0,4.545454545454546,3.896103896103896,16.883116883116884,14.935064935064934,25.974025974025974,18.83116883116883,14.935064935064934,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,16.666666666666668,27.77777777777778,55.55555555555556,0.0,100.0
2020_04_01,,,14,76,103,136,142,127,77,59,2,736,,,1,4,7,6,7,7,7,7,0,46,5,10.869565217391305,20,43.47826086956522,21,45.65217391304348,,,1,6,6,29,27,42,31,25,0,167,,,0,0,0,0,0,3,6,10,0,19,,,7.142857142857142,7.894736842105263,5.825242718446602,21.323529411764707,19.014084507042252,33.07086614173229,40.25974025974026,42.3728813559322,0.0,22.690217391304348,,,0.0,0.0,0.0,0.0,0.0,2.3622047244094486,7.792207792207792,16.94915254237288,0.0,2.5815217391304346,,,1.9021739130434783,10.326086956521738,13.994565217391305,18.47826086956522,19.293478260869566,17.255434782608695,10.46195652173913,8.016304347826088,0.2717391304347826,100.0,,,0.5988023952095808,3.592814371257485,3.592814371257485,17.365269461077844,16.167664670658684,25.149700598802394,18.562874251497007,14.970059880239521,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,15.789473684210526,31.57894736842105,52.63157894736842,0.0,100.0
2020_04_02,,,15,89,112,157,159,144,86,63,1,826,,,1,13,9,21,17,17,9,4,-1,90,14,15.555555555555555,47,52.22222222222222,30,33.333333333333336,,,1,8,8,30,32,46,36,27,0,188,,,0,0,0,0,0,4,6,11,0,21,,,6.666666666666667,8.98876404494382,7.142857142857142,19.10828025477707,20.125786163522015,31.944444444444443,41.86046511627907,42.857142857142854,0.0,22.760290556900724,,,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,6.976744186046512,17.46031746031746,0.0,2.5423728813559325,,,1.8159806295399517,10.774818401937045,13.559322033898304,19.00726392251816,19.249394673123486,17.433414043583536,10.411622276029055,7.627118644067797,0.12106537530266344,100.0,,,0.5319148936170213,4.25531914893617,4.25531914893617,15.957446808510639,17.02127659574468,24.46808510638298,19.148936170212767,14.361702127659575,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,19.047619047619047,28.571428571428573,52.38095238095238,0.0,100.0
2020_04_03,,,18,92,131,169,170,161,91,65,2,899,,,3,3,19,12,11,17,5,2,1,73,6,8.219178082191782,42,57.534246575342465,24,32.87671232876713,,,1,10,10,32,32,52,39,28,0,204,,,0,0,0,0,0,4,7,11,0,22,,,5.555555555555555,10.869565217391305,7.633587786259542,18.93491124260355,18.823529411764707,32.298136645962735,42.857142857142854,43.07692307692308,0.0,22.691879866518352,,,0.0,0.0,0.0,0.0,0.0,2.484472049689441,7.6923076923076925,16.923076923076923,0.0,2.4471635150166855,,,2.0022246941045605,10.233592880978865,14.57174638487208,18.798665183537263,18.909899888765295,17.908787541713014,10.122358175750835,7.230255839822025,0.22246941045606228,100.0,,,0.49019607843137253,4.901960784313726,4.901960784313726,15.686274509803921,15.686274509803921,25.49019607843137,19.11764705882353,13.72549019607843,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,18.181818181818183,31.818181818181817,50.0,0.0,100.0
2020_04_04,,,23,101,145,183,191,182,103,70,1,999,,,5,9,14,14,21,21,12,5,-1,100,14,14.0,49,49.0,38,38.0,,,2,11,12,36,41,64,42,31,0,239,,,0,0,0,0,1,6,8,11,0,26,,,8.695652173913043,10.891089108910892,8.275862068965518,19.672131147540984,21.465968586387437,35.16483516483517,40.77669902912621,44.285714285714285,0.0,23.923923923923923,,,0.0,0.0,0.0,0.0,0.5235602094240838,3.296703296703297,7.766990291262135,15.714285714285714,0.0,2.6026026026026026,,,2.3023023023023024,10.11011011011011,14.514514514514515,18.31831831831832,19.11911911911912,18.21821821821822,10.31031031031031,7.007007007007007,0.1001001001001001,100.0,,,0.8368200836820083,4.602510460251046,5.02092050209205,15.06276150627615,17.15481171548117,26.778242677824267,17.573221757322177,12.97071129707113,0.0,100.0,,,0.0,0.0,0.0,0.0,3.8461538461538463,23.076923076923077,30.76923076923077,42.30769230769231,0.0,100.0
