zip,count,rate_10k,date
97002,51,907,2020-10-14
97003,277,1070.2,2020-10-14
97004,25,569.7,2020-10-14
97005,337,1353.1,2020-10-14
97006,407,645.7,2020-10-14
97007,381,569,2020-10-14
97008,224,773.2,2020-10-14
97009,70,901.8,2020-10-14
97013,295,1300.2,2020-10-14
97014,-1,-1,2020-10-14
97015,222,1137.2,2020-10-14
97016,37,608.3,2020-10-14
97017,-1,-1,2020-10-14
97018,13,666,2020-10-14
97019,34,1075.6,2020-10-14
97021,-1,-1,2020-10-14
97022,31,832.9,2020-10-14
97023,57,579.7,2020-10-14
97024,258,2519,2020-10-14
97026,132,3460,2020-10-14
97027,61,502.8,2020-10-14
97030,565,1539.8,2020-10-14
97031,203,1104.8,2020-10-14
97032,119,2359.7,2020-10-14
97034,86,454.9,2020-10-14
97035,108,451.7,2020-10-14
97038,117,774.2,2020-10-14
97040,10,803.9,2020-10-14
97041,41,1455.4,2020-10-14
97042,22,752.7,2020-10-14
97045,391,761.3,2020-10-14
97048,49,732.3,2020-10-14
97049,-1,-1,2020-10-14
97051,72,451.2,2020-10-14
97053,-1,-1,2020-10-14
97054,-1,-1,2020-10-14
97055,88,507.2,2020-10-14
97056,44,382.7,2020-10-14
97058,288,1451.8,2020-10-14
97060,294,1385.1,2020-10-14
97062,300,1093.5,2020-10-14
97063,-1,-1,2020-10-14
97064,12,346.4,2020-10-14
97067,13,608,2020-10-14
97068,107,378,2020-10-14
97070,180,858.9,2020-10-14
97071,1116,3874.6,2020-10-14
97078,295,1376.5,2020-10-14
97080,608,1487,2020-10-14
97086,258,991.9,2020-10-14
97089,115,959.5,2020-10-14
97101,30,790.7,2020-10-14
97103,76,450.8,2020-10-14
97106,33,725.3,2020-10-14
97107,0,0,2020-10-14
97110,-1,-1,2020-10-14
97111,19,602,2020-10-14
97112,0,0,2020-10-14
97113,338,2387.8,2020-10-14
97114,57,1197,2020-10-14
97115,30,724.8,2020-10-14
97116,335,1389.8,2020-10-14
97119,22,497.7,2020-10-14
97121,12,867.7,2020-10-14
97123,676,1517.8,2020-10-14
97124,411,850.1,2020-10-14
97127,36,962.6,2020-10-14
97128,473,1308.8,2020-10-14
97131,-1,-1,2020-10-14
97132,194,686,2020-10-14
97133,13,325,2020-10-14
97136,-1,-1,2020-10-14
97137,-1,-1,2020-10-14
97138,30,299.4,2020-10-14
97140,101,430.3,2020-10-14
97141,40,304.4,2020-10-14
97146,86,1456.4,2020-10-14
