zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97761,571,2020-12-16,1875.2052545155993,Warm Springs,3045,49387
97818,483,2020-12-16,1039.8277717976318,Boardman,4645,54928
97914,1845,2020-12-16,951.6195584897876,Ontario,19388,37363
97838,2268,2020-12-16,858.7981369987505,Hermiston,26409,53832
97913,465,2020-12-16,826.226012793177,Nyssa,5628,49789
97882,648,2020-12-16,757.4517825832846,Umatilla,8555,51073
97875,198,2020-12-16,739.6339185655585,Stanfield,2677,58097
97071,2121,2020-12-16,671.138815935196,Woodburn,31603,53329
97918,274,2020-12-16,613.2497761862131,Vale,4468,44641
97026,235,2020-12-16,565.8560077052733,Gervais,4153,63861
97844,223,2020-12-16,555.6939945178171,Irrigon,4013,58486
97801,1195,2020-12-16,543.8740214818861,Pendleton,21972,53891
97233,2351,2020-12-16,542.1547827691172,Portland,43364,44978
97236,2107,2020-12-16,530.3430743285761,Portland,39729,53217
97113,765,2020-12-16,503.8861810038203,Cornelius,15182,62923
97024,561,2020-12-16,481.62774725274727,Fairview,11648,57991
97032,248,2020-12-16,456.46972206883856,Hubbard,5433,61752
97305,1970,2020-12-16,452.3224576952219,Salem,43553,48604
97850,721,2020-12-16,413.22787712058687,La Grande,17448,42768
97030,1639,2020-12-16,406.0247231649615,Gresham,40367,52440
97230,1694,2020-12-16,400.0094453233843,Portland,42349,55153
97862,462,2020-12-16,399.4811932555123,Milton Freewater,11565,46821
97218,623,2020-12-16,393.60626737427344,Portland,15828,59510
97503,472,2020-12-16,391.9940204301968,White City,12041,53263
97633,51,2020-12-16,389.908256880734,Merrill,1308,49452
97266,1386,2020-12-16,375.89498806682576,Portland,36872,46821
97301,2136,2020-12-16,371.4911823019931,Salem,57498,43425
97632,52,2020-12-16,356.89773507206587,Malin,1457,50988
97060,777,2020-12-16,351.9818799546999,Troutdale,22075,70029
97123,1742,2020-12-16,351.13888328965936,Hillsboro,49610,78935
97365,386,2020-12-16,346.77926511544337,Newport,11131,46167
97501,1583,2020-12-16,346.73091665754026,Medford,45655,43006
97741,465,2020-12-16,335.401038661281,Madras,13864,50018
97015,752,2020-12-16,332.2582070428136,Clackamas,22633,74846
97080,1519,2020-12-16,329.32249322493226,Gresham,46125,75213
97209,671,2020-12-16,325.52272837529716,Portland,20613,73208
97317,843,2020-12-16,322.19844060541203,Salem,26164,59502
97116,919,2020-12-16,317.08242762999,Forest Grove,28983,62657
97216,548,2020-12-16,314.8520540074691,Portland,17405,50559
97362,156,2020-12-16,309.8927294398093,Mount Angel,5034,53086
97005,863,2020-12-16,304.8500476880144,Beaverton,28309,54232
97114,164,2020-12-16,301.0831650449789,Dayton,5447,67395
97220,1002,2020-12-16,300.5398920215957,Portland,33340,53408
97058,636,2020-12-16,299.9151183627275,The Dalles,21206,51778
97013,756,2020-12-16,298.1895633652822,Canby,25353,76479
97886,34,2020-12-16,290.846877673225,Weston,1169,61998
97845,76,2020-12-16,290.0763358778626,John Day,2620,48837
97351,333,2020-12-16,289.18801563178465,Independence,11515,48413
97204,33,2020-12-16,287.7070619006103,Portland,1147,14771
97303,1202,2020-12-16,282.5177454989893,Salem,42546,61298
97062,831,2020-12-16,276.9353817442597,Tualatin,30007,86250
97630,144,2020-12-16,272.10884353741494,Lakeview,5292,43584
97078,698,2020-12-16,270.5111808704414,Beaverton,25803,67159
97009,215,2020-12-16,263.77131640289537,Boring,8151,85309
97002,160,2020-12-16,263.59143327841844,Aurora,6070,73623
97128,1041,2020-12-16,263.0647932881836,Mcminnville,39572,54784
97826,35,2020-12-16,262.17228464419475,Echo,1335,53454
97031,504,2020-12-16,256.3189747241011,Hood River,19663,63475
97203,902,2020-12-16,252.95156902885668,Portland,35659,57817
97086,813,2020-12-16,248.73795318953648,Happy Valley,32685,98590
97006,1096,2020-12-16,244.69747711542755,Beaverton,44790,78544
97868,50,2020-12-16,241.196333815726,Pilot Rock,2073,49244
97127,107,2020-12-16,238.51983950066875,Lafayette,4486,59993
97089,330,2020-12-16,236.13595706618963,Damascus,13975,103250
97813,31,2020-12-16,234.67070401211203,Athena,1321,59451
97603,728,2020-12-16,233.7378796635202,Klamath Falls,31146,44512
97304,744,2020-12-16,233.70504162085754,Salem,31835,66749
97306,704,2020-12-16,231.6475272284558,Salem,30391,75599
97389,41,2020-12-16,230.98591549295776,Tangent,1775,59138
97814,291,2020-12-16,230.91572766227583,Baker City,12602,46509
97502,678,2020-12-16,228.6215268411114,Central Point,29656,55522
97504,1115,2020-12-16,227.42106551358407,Medford,49028,56873
97007,1099,2020-12-16,226.5699088772523,Beaverton,48506,100221
97055,445,2020-12-16,225.91126002639862,Sandy,19698,74114
97446,117,2020-12-16,221.13022113022112,Harrisburg,5291,59823
97392,118,2020-12-16,219.29009477792232,Turner,5381,71954
97734,71,2020-12-16,217.65787860208462,Culver,3262,53777
97137,27,2020-12-16,216.0,Saint Paul,1250,82775
97003,680,2020-12-16,215.08777479044758,Beaverton,31615,72734
97019,74,2020-12-16,214.9288411269242,Corbett,3443,79095
97865,23,2020-12-16,211.78637200736648,Mount Vernon,1086,37356
97045,1194,2020-12-16,210.18166455428812,Oregon City,56808,80390
97008,637,2020-12-16,209.98154008438817,Beaverton,30336,71986
97124,1140,2020-12-16,208.1621473568885,Hillsboro,54765,88896
