zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97761,49,2020-12-16,160.91954022988506,Warm Springs,3045,49387
97026,30,2020-12-16,72.23693715386467,Gervais,4153,63861
97918,29,2020-12-16,64.90599820948971,Vale,4468,44641
97741,79,2020-12-16,56.98211194460473,Madras,13864,50018
97032,30,2020-12-16,55.21811154058531,Hubbard,5433,61752
97862,63,2020-12-16,54.474708171206224,Milton Freewater,11565,46821
97233,225,2020-12-16,51.8863573471082,Portland,43364,44978
97071,157,2020-12-16,49.67882795937095,Woodburn,31603,53329
97031,94,2020-12-16,47.80552306362203,Hood River,19663,63475
97844,19,2020-12-16,47.3461250934463,Irrigon,4013,58486
97236,185,2020-12-16,46.56548113468751,Portland,39729,53217
97209,95,2020-12-16,46.08742055984088,Portland,20613,73208
97818,20,2020-12-16,43.05705059203444,Boardman,4645,54928
97305,186,2020-12-16,42.70658737630014,Salem,43553,48604
97603,128,2020-12-16,41.09677005072883,Klamath Falls,31146,44512
97030,160,2020-12-16,39.636336611588675,Gresham,40367,52440
97301,219,2020-12-16,38.08828133152458,Salem,57498,43425
97024,44,2020-12-16,37.77472527472528,Fairview,11648,57991
97005,106,2020-12-16,37.44392242749655,Beaverton,28309,54232
97022,14,2020-12-16,36.3447559709242,Eagle Creek,3852,75311
97015,81,2020-12-16,35.788450492643484,Clackamas,22633,74846
97360,9,2020-12-16,35.714285714285715,Mill City,2520,50811
97374,20,2020-12-16,35.454706612302786,Scio,5641,71138
97230,150,2020-12-16,35.41996269097263,Portland,42349,55153
97204,4,2020-12-16,34.873583260680036,Portland,1147,14771
97632,5,2020-12-16,34.317089910775564,Malin,1457,50988
97380,9,2020-12-16,34.23354887790034,Siletz,2629,48339
97630,18,2020-12-16,34.01360544217687,Lakeview,5292,43584
97358,10,2020-12-16,33.78378378378378,Lyons,2960,65701
97113,51,2020-12-16,33.592412066921355,Cornelius,15182,62923
97080,154,2020-12-16,33.387533875338754,Gresham,46125,75213
97503,40,2020-12-16,33.219832239847186,White City,12041,53263
97838,86,2020-12-16,32.564655988488774,Hermiston,26409,53832
97115,15,2020-12-16,32.313657906074965,Dundee,4642,85187
97123,159,2020-12-16,32.04998992138682,Hillsboro,49610,78935
97913,18,2020-12-16,31.982942430703623,Nyssa,5628,49789
97266,113,2020-12-16,30.646561076155347,Portland,36872,46821
97633,4,2020-12-16,30.581039755351682,Merrill,1308,49452
97060,66,2020-12-16,29.898074745186864,Troutdale,22075,70029
97101,12,2020-12-16,29.873039581777444,Amity,4017,65422
97756,120,2020-12-16,29.850746268656717,Redmond,40200,56928
97121,5,2020-12-16,29.797377830750893,Hammond,1678,54015
97218,47,2020-12-16,29.69421278746525,Portland,15828,59510
97116,86,2020-12-16,29.672566677017564,Forest Grove,28983,62657
97478,119,2020-12-16,29.66545345764571,Springfield,40114,55845
97501,134,2020-12-16,29.350564012703977,Medford,45655,43006
97882,25,2020-12-16,29.222676797194623,Umatilla,8555,51073
97110,5,2020-12-16,29.18855808523059,Cannon Beach,1713,59314
97038,50,2020-12-16,29.101914906000815,Molalla,17181,65790
97019,10,2020-12-16,29.04443799012489,Corbett,3443,79095
97013,73,2020-12-16,28.793436674160848,Canby,25353,76479
97306,87,2020-12-16,28.62689612056201,Salem,30391,75599
97378,27,2020-12-16,28.49905003166561,Sheridan,9474,51177
97303,120,2020-12-16,28.20476660555634,Salem,42546,61298
97760,23,2020-12-16,27.841665657910664,Terrebonne,8261,67439
97338,60,2020-12-16,27.354791647670282,Dallas,21934,55449
97426,29,2020-12-16,27.332704995287465,Creswell,10610,63451
97814,34,2020-12-16,26.979844469131883,Baker City,12602,46509
97355,84,2020-12-16,26.849928080549784,Lebanon,31285,51381
97128,105,2020-12-16,26.533912867684222,Mcminnville,39572,54784
97070,67,2020-12-16,26.47070443680613,Wilsonville,25311,80835
97058,56,2020-12-16,26.40762048476846,The Dalles,21206,51778
97754,54,2020-12-16,26.300409117475162,Prineville,20532,38952
97875,7,2020-12-16,26.14867388868136,Stanfield,2677,58097
97055,51,2020-12-16,25.890953396283887,Sandy,19698,74114
97216,45,2020-12-16,25.85463947141626,Portland,17405,50559
97886,3,2020-12-16,25.66295979469632,Weston,1169,61998
97502,76,2020-12-16,25.627191799298625,Central Point,29656,55522
97322,95,2020-12-16,25.575447570332482,Albany,37145,49169
97220,85,2020-12-16,25.49490101979604,Portland,33340,53408
97601,60,2020-12-16,25.443134594182002,Klamath Falls,23582,36080
97119,11,2020-12-16,25.333947489636113,Gaston,4342,86088
97419,3,2020-12-16,25.29510961214165,Cheshire,1186,63300
97477,96,2020-12-16,24.894328760729195,Springfield,38563,42555
97106,13,2020-12-16,24.67261339912697,Banks,5269,104265
97734,8,2020-12-16,24.524831391784183,Culver,3262,53777
97415,38,2020-12-16,24.335574767851426,Brookings,15615,41438
97045,137,2020-12-16,24.116321644838756,Oregon City,56808,80390
97137,3,2020-12-16,24.0,Saint Paul,1250,82775
97002,14,2020-12-16,23.064250411861615,Aurora,6070,73623
97062,69,2020-12-16,22.994634585263437,Tualatin,30007,86250
97078,59,2020-12-16,22.8655582684184,Beaverton,25803,67159
97813,3,2020-12-16,22.71006813020439,Athena,1321,59451
97385,8,2020-12-16,22.682166146867026,Sublimity,3527,67784
97624,10,2020-12-16,22.660321776569226,Chiloquin,4413,35870
97389,4,2020-12-16,22.535211267605632,Tangent,1775,59138
97352,15,2020-12-16,22.465178972592483,Jefferson,6677,62500
97112,5,2020-12-16,22.09456473707468,Cloverdale,2263,51011
97114,12,2020-12-16,22.030475491096016,Dayton,5447,67395
97006,98,2020-12-16,21.879883902656843,Beaverton,44790,78544
97402,120,2020-12-16,21.864693985387095,Eugene,54883,44970
97325,16,2020-12-16,21.612859651492638,Aumsville,7403,66567
97027,28,2020-12-16,21.54011847065159,Gladstone,12999,68497
97023,25,2020-12-16,21.459227467811157,Estacada,11650,75268
97801,47,2020-12-16,21.390861095940288,Pendleton,21972,53891
97304,68,2020-12-16,21.360138212659024,Salem,31835,66749
97040,3,2020-12-16,21.261516654854713,Mosier,1411,59364
97438,3,2020-12-16,21.231422505307854,Fall Creek,1413,63230
97526,77,2020-12-16,21.223229789697086,Grants Pass,36281,48330
97827,7,2020-12-16,21.205695243865495,Elgin,3301,41728
97448,29,2020-12-16,21.087841768470042,Junction City,13752,57776
97330,94,2020-12-16,21.087580760947596,Corvallis,44576,54916
97317,55,2020-12-16,21.021250573306833,Salem,26164,59502
97539,8,2020-12-16,20.844189682126107,Shady Cove,3838,40585
97850,36,2020-12-16,20.63273727647868,La Grande,17448,42768
97203,73,2020-12-16,20.471690176393057,Portland,35659,57817
97133,11,2020-12-16,20.419528494523853,North Plains,5387,88697
97701,81,2020-12-16,20.1984938407062,Bend,40102,60820
97227,11,2020-12-16,20.098666179426274,Portland,5473,67684
97089,28,2020-12-16,20.03577817531306,Damascus,13975,103250
97051,34,2020-12-16,19.915651358950328,Saint Helens,17072,52674
97124,109,2020-12-16,19.903222861316536,Hillsboro,54765,88896
97086,65,2020-12-16,19.8867982254857,Happy Valley,32685,98590
97205,17,2020-12-16,19.873743277998596,Portland,8554,35240
97008,60,2020-12-16,19.77848101265823,Beaverton,30336,71986
97347,4,2020-12-16,19.66568338249754,Grand Ronde,2034,51190
97462,8,2020-12-16,19.66568338249754,Oakland,4068,52371
97370,18,2020-12-16,19.580115305123464,Philomath,9193,63322
97527,68,2020-12-16,19.484240687679083,Grants Pass,34900,48717
97302,79,2020-12-16,19.36749203236087,Salem,40790,64161
