zip,count,new_rate_10k,date,zipcode,name,state_abbrev,area,totpop_cy,medhinc_cy
97301,12,68.9976,2020-05-19,97301,Salem,OR,11.2504876292894,57498,43425
97230,15,63.5235,2020-05-19,97230,Portland,OR,10.6941806300882,42349,55153
97233,14,60.7096,2020-05-19,97233,Portland,OR,4.70276841896393,43364,44978
97071,19,60.0457,2020-05-19,97071,Woodburn,OR,57.0083478387998,31603,53329
97203,12,42.7908,2020-05-19,97203,Portland,OR,11.3519900967709,35659,57817
97305,9,39.1977,2020-05-19,97305,Salem,OR,47.9919312146601,43553,48604
97007,8,38.8048,2020-05-19,97007,Beaverton,OR,17.7854705085801,48506,100221
97236,9,35.7561,2020-05-19,97236,Portland,OR,7.56497957853936,39729,53217
97756,8,32.16,2020-05-19,97756,Redmond,OR,98.7445915875537,40200,56928
97206,6,30.7938,2020-05-19,97206,Portland,OR,6.47120363521073,51323,62204
97222,8,29.8024,2020-05-19,97222,Portland,OR,8.77269824640158,37253,58020
97123,6,29.766,2020-05-19,97123,Hillsboro,OR,56.0120216624948,49610,78935
97302,7,28.553,2020-05-19,97302,Salem,OR,24.242351044718,40790,64161
97080,6,27.675,2020-05-19,97080,Gresham,OR,22.5367931854277,46125,75213
97223,5,25.614,2020-05-19,97223,Portland,OR,10.9526555550035,51228,83752
97303,6,25.5276,2020-05-19,97303,Salem,OR,23.5161318208895,42546,61298
97306,8,24.3128,2020-05-19,97306,Salem,OR,33.1631468359043,30391,75599
97304,6,19.101,2020-05-19,97304,Salem,OR,61.7361312641532,31835,66749
97317,7,18.3148,2020-05-19,97317,Salem,OR,54.4089265038736,26164,59502
97321,6,16.7022,2020-05-19,97321,Albany,OR,75.2305488907682,27837,68304
97838,6,15.8454,2020-05-19,97838,Hermiston,OR,149.909098157205,26409,53832
97128,4,15.8288,2020-05-19,97128,Mcminnville,OR,117.481372378274,39572,54784
97005,5,14.1545,2020-05-19,97005,Beaverton,OR,5.55325797447222,28309,54232
97211,4,13.634,2020-05-19,97211,Portland,OR,6.68439653946473,34085,80640
97006,3,13.437,2020-05-19,97006,Beaverton,OR,6.96620870101866,44790,78544
97202,3,12.9069,2020-05-19,97202,Portland,OR,6.45230355394679,43023,71733
97322,3,11.1435,2020-05-19,97322,Albany,OR,66.1532586379949,37145,49169
97124,2,10.953,2020-05-19,97124,Hillsboro,OR,44.7373082281095,54765,88896
97113,6,9.1092,2020-05-19,97113,Cornelius,OR,33.7133882926189,15182,62923
97062,3,9.0021,2020-05-19,97062,Tualatin,OR,14.7521473141031,30007,86250
97330,2,8.9152,2020-05-19,97330,Corvallis,OR,83.6455129006939,44576,54916
97116,3,8.6949,2020-05-19,97116,"Forest Grove",OR,68.8593418357364,28983,62657
97219,2,8.3256,2020-05-19,97219,Portland,OR,11.7849159790826,41628,100306
97701,2,8.0204,2020-05-19,97701,Bend,OR,333.335024057135,40102,60820
97914,4,7.7552,2020-05-19,97914,Ontario,OR,200.505792931874,19388,37363
97078,3,7.7409,2020-05-19,97078,Beaverton,OR,7.45919366438412,25803,67159
97224,2,7.4826,2020-05-19,97224,Portland,OR,8.99561706980357,37413,78136
97266,2,7.3744,2020-05-19,97266,Portland,OR,6.22534838462095,36872,46821
