zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97761,467,2020-12-02,1533.6617405582922,Warm Springs,3045,49387
97818,441,2020-12-02,949.4079655543595,Boardman,4645,54928
97914,1734,2020-12-02,894.3676500928409,Ontario,19388,37363
97838,2070,2020-12-02,783.8236964671135,Hermiston,26409,53832
97913,435,2020-12-02,772.9211087420042,Nyssa,5628,49789
97882,604,2020-12-02,706.0198714202221,Umatilla,8555,51073
97875,186,2020-12-02,694.8076204706762,Stanfield,2677,58097
97071,1767,2020-12-02,559.1241337847673,Woodburn,31603,53329
97918,222,2020-12-02,496.86660698299016,Vale,4468,44641
97801,1082,2020-12-02,492.44492991079557,Pendleton,21972,53891
97844,188,2020-12-02,468.4774482930476,Irrigon,4013,58486
97026,186,2020-12-02,447.869010353961,Gervais,4153,63861
97233,1918,2020-12-02,442.3023706300157,Portland,43364,44978
97236,1709,2020-12-02,430.1643635631403,Portland,39729,53217
97113,638,2020-12-02,420.23448820972203,Cornelius,15182,62923
97024,470,2020-12-02,403.50274725274727,Fairview,11648,57991
97850,645,2020-12-02,369.66987620357634,La Grande,17448,42768
97305,1601,2020-12-02,367.59809886804584,Salem,43553,48604
97032,188,2020-12-02,346.03349898766794,Hubbard,5433,61752
97218,530,2020-12-02,334.8496335607784,Portland,15828,59510
97030,1341,2020-12-02,332.20204622587755,Gresham,40367,52440
97230,1393,2020-12-02,328.9333868568325,Portland,42349,55153
97365,366,2020-12-02,328.811427544695,Newport,11131,46167
97503,383,2020-12-02,318.07989369653683,White City,12041,53263
97862,354,2020-12-02,306.0959792477302,Milton Freewater,11565,46821
97266,1110,2020-12-02,301.0414406595791,Portland,36872,46821
97301,1695,2020-12-02,294.7928623604299,Salem,57498,43425
97060,646,2020-12-02,292.638731596829,Troutdale,22075,70029
97501,1311,2020-12-02,287.1536523929471,Medford,45655,43006
97123,1383,2020-12-02,278.77444063696834,Hillsboro,49610,78935
97317,717,2020-12-02,274.04066656474544,Salem,26164,59502
97114,147,2020-12-02,269.8733247659262,Dayton,5447,67395
97080,1239,2020-12-02,268.6178861788618,Gresham,46125,75213
97362,135,2020-12-02,268.17640047675803,Mount Angel,5034,53086
97845,70,2020-12-02,267.17557251908397,John Day,2620,48837
97015,602,2020-12-02,265.9832987231034,Clackamas,22633,74846
97216,457,2020-12-02,262.56822752082735,Portland,17405,50559
97351,291,2020-12-02,252.71385149804604,Independence,11515,48413
97633,33,2020-12-02,252.29357798165137,Merrill,1308,49452
97209,512,2020-12-02,248.38694028040558,Portland,20613,73208
97220,819,2020-12-02,245.6508698260348,Portland,33340,53408
97116,699,2020-12-02,241.17586171203808,Forest Grove,28983,62657
97826,32,2020-12-02,239.7003745318352,Echo,1335,53454
97005,678,2020-12-02,239.49980571549685,Beaverton,28309,54232
97204,27,2020-12-02,235.39668700959024,Portland,1147,14771
97013,595,2020-12-02,234.68623042637952,Canby,25353,76479
97058,489,2020-12-02,230.59511459021033,The Dalles,21206,51778
97009,185,2020-12-02,226.96601643970064,Boring,8151,85309
97303,962,2020-12-02,226.10821228787665,Salem,42546,61298
97741,311,2020-12-02,224.32198499711484,Madras,13864,50018
