zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97761,47,2020-12-02,154.3513957307061,Warm Springs,3045,49387
97417,27,2020-12-02,94.80337078651685,Canyonville,2848,40627
97875,24,2020-12-02,89.65259618976467,Stanfield,2677,58097
97380,21,2020-12-02,79.8782807151008,Siletz,2629,48339
97348,14,2020-12-02,77.13498622589532,Halsey,1815,57874
97209,153,2020-12-02,74.22500363848057,Portland,20613,73208
97113,103,2020-12-02,67.84349888025294,Cornelius,15182,62923
97630,35,2020-12-02,66.13756613756614,Lakeview,5292,43584
97236,262,2020-12-02,65.94678949885474,Portland,39729,53217
97865,7,2020-12-02,64.45672191528546,Mount Vernon,1086,37356
97362,32,2020-12-02,63.567739372268576,Mount Angel,5034,53086
97632,9,2020-12-02,61.770761839396016,Malin,1457,50988
97204,7,2020-12-02,61.02877070619006,Portland,1147,14771
97071,188,2020-12-02,59.48802328892827,Woodburn,31603,53329
97233,251,2020-12-02,57.88211419610737,Portland,43364,44978
97030,226,2020-12-02,55.986325463869,Gresham,40367,52440
97266,206,2020-12-02,55.8689520503363,Portland,36872,46821
97818,25,2020-12-02,53.821313240043054,Boardman,4645,54928
97913,30,2020-12-02,53.304904051172706,Nyssa,5628,49789
97015,117,2020-12-02,51.69442848937393,Clackamas,22633,74846
97024,59,2020-12-02,50.652472527472526,Fairview,11648,57991
97123,242,2020-12-02,48.78048780487805,Hillsboro,49610,78935
97351,56,2020-12-02,48.632218844984806,Independence,11515,48413
97060,107,2020-12-02,48.47112117780294,Troutdale,22075,70029
97230,201,2020-12-02,47.462750005903324,Portland,42349,55153
97914,89,2020-12-02,45.90468330926346,Ontario,19388,37363
97862,53,2020-12-02,45.82792909641159,Milton Freewater,11565,46821
97089,64,2020-12-02,45.796064400715565,Damascus,13975,103250
97813,6,2020-12-02,45.42013626040878,Athena,1321,59451
97389,8,2020-12-02,45.070422535211264,Tangent,1775,59138
97218,71,2020-12-02,44.85721506191559,Portland,15828,59510
97216,77,2020-12-02,44.24016087331227,Portland,17405,50559
97220,146,2020-12-02,43.79124175164967,Portland,33340,53408
97886,5,2020-12-02,42.7715996578272,Weston,1169,61998
97392,23,2020-12-02,42.74298457535774,Turner,5381,71954
97603,132,2020-12-02,42.3810441148141,Klamath Falls,31146,44512
97032,23,2020-12-02,42.33388551444874,Hubbard,5433,61752
97501,192,2020-12-02,42.054539480889275,Medford,45655,43006
97013,106,2020-12-02,41.80964777343904,Canby,25353,76479
97005,118,2020-12-02,41.68285704193013,Beaverton,28309,54232
97045,234,2020-12-02,41.191381495564,Oregon City,56808,80390
97055,81,2020-12-02,41.12092598233323,Sandy,19698,74114
97116,119,2020-12-02,41.05855156471035,Forest Grove,28983,62657
97838,108,2020-12-02,40.895149380892875,Hermiston,26409,53832
97305,178,2020-12-02,40.869744908502284,Salem,43553,48604
97469,11,2020-12-02,40.680473372781066,Riddle,2704,49123
97918,18,2020-12-02,40.28648164726947,Vale,4468,44641
97080,185,2020-12-02,40.10840108401084,Gresham,46125,75213
