zip,count,rate_10k,date
97002,47,835.8,2020-09-10
97003,219,846.1,2020-09-10
97004,20,455.8,2020-09-10
97005,283,1136.3,2020-09-10
97006,319,506.1,2020-09-10
97007,279,416.7,2020-09-10
97008,176,607.5,2020-09-10
97009,60,773,2020-09-10
97013,248,1093.1,2020-09-10
97014,-1,-1,2020-09-10
97015,150,768.4,2020-09-10
97016,20,328.8,2020-09-10
97017,-1,-1,2020-09-10
97018,-1,-1,2020-09-10
97019,34,1075.6,2020-09-10
97021,-1,-1,2020-09-10
97022,17,456.7,2020-09-10
97023,45,457.7,2020-09-10
97024,206,2011.3,2020-09-10
97026,109,2857.1,2020-09-10
97027,49,403.9,2020-09-10
97030,447,1218.2,2020-09-10
97031,187,1017.7,2020-09-10
97032,107,2121.6,2020-09-10
97034,63,333.2,2020-09-10
97035,78,326.2,2020-09-10
97038,95,628.6,2020-09-10
97040,-1,-1,2020-09-10
97041,32,1136,2020-09-10
97042,17,581.6,2020-09-10
97045,282,549.1,2020-09-10
97048,26,388.6,2020-09-10
97049,-1,-1,2020-09-10
97051,43,269.5,2020-09-10
97053,-1,-1,2020-09-10
97054,-1,-1,2020-09-10
97055,67,386.2,2020-09-10
97056,27,234.8,2020-09-10
97058,200,1008.2,2020-09-10
97060,223,1050.6,2020-09-10
97062,250,911.3,2020-09-10
97063,-1,-1,2020-09-10
97064,-1,-1,2020-09-10
97067,13,608,2020-09-10
97068,79,279.1,2020-09-10
97070,145,691.9,2020-09-10
97071,936,3249.7,2020-09-10
97078,240,1119.9,2020-09-10
97080,480,1173.9,2020-09-10
97086,183,703.6,2020-09-10
97089,78,650.6,2020-09-10
97101,24,632.6,2020-09-10
97103,45,266.9,2020-09-10
97106,22,483.5,2020-09-10
97107,0,0,2020-09-10
97110,-1,-1,2020-09-10
97111,15,475.3,2020-09-10
97112,0,0,2020-09-10
97113,253,1787.6,2020-09-10
97114,46,966,2020-09-10
97115,22,531.5,2020-09-10
97116,260,1078.7,2020-09-10
97119,14,316.7,2020-09-10
97121,-1,-1,2020-09-10
97123,537,1205.7,2020-09-10
97124,322,666,2020-09-10
97127,21,561.5,2020-09-10
97128,351,971.2,2020-09-10
97131,-1,-1,2020-09-10
97132,146,516.3,2020-09-10
97133,13,325,2020-09-10
97136,-1,-1,2020-09-10
97137,-1,-1,2020-09-10
97138,18,179.6,2020-09-10
97140,83,353.6,2020-09-10
97141,27,205.5,2020-09-10
97146,22,372.6,2020-09-10
97148,18,528.5,2020-09-10
97201,60,387.5,2020-09-10
97202,150,387,2020-09-10
97203,307,989,2020-09-10
97204,-1,-1,2020-09-10
97205,19,247.1,2020-09-10
97206,268,563.1,2020-09-10
97209,116,775.9,2020-09-10
97210,40,367.4,2020-09-10
97211,170,543.9,2020-09-10
97212,75,310.9,2020-09-10
97213,130,444.9,2020-09-10
97214,135,566.9,2020-09-10
97215,97,592.4,2020-09-10
97216,144,923.4,2020-09-10
97217,168,534.4,2020-09-10
97218,170,1167.5,2020-09-10
97219,145,374.6,2020-09-10
97220,272,954.6,2020-09-10
97221,37,318.1,2020-09-10
97222,189,540.3,2020-09-10
97223,242,518.2,2020-09-10
97224,156,501.3,2020-09-10
97225,114,471.5,2020-09-10
97227,18,467.9,2020-09-10
97229,198,340.1,2020-09-10
97230,464,1167.2,2020-09-10
97231,18,420.6,2020-09-10
97232,35,305.1,2020-09-10
97233,703,1785.8,2020-09-10
97236,704,1910.3,2020-09-10
97239,68,480.6,2020-09-10
97266,334,1003,2020-09-10
97267,149,483.2,2020-09-10
97301,662,1237,2020-09-10
97302,201,541.3,2020-09-10
97303,395,1021.6,2020-09-10
97304,259,910.2,2020-09-10
97305,678,1687.6,2020-09-10
97306,206,752.9,2020-09-10
97317,242,993.6,2020-09-10
97321,108,433.2,2020-09-10
97322,146,428.9,2020-09-10
97324,-1,-1,2020-09-10
97325,37,559.4,2020-09-10
97327,-1,-1,2020-09-10
97330,122,294.1,2020-09-10
97331,-1,-1,2020-09-10
97333,46,215.1,2020-09-10
97338,47,234.5,2020-09-10
97341,-1,-1,2020-09-10
97344,-1,-1,2020-09-10
97347,-1,-1,2020-09-10
97348,-1,-1,2020-09-10
97351,81,785.9,2020-09-10
97352,18,321.2,2020-09-10
97355,92,321.5,2020-09-10
97358,0,0,2020-09-10
97360,-1,-1,2020-09-10
97361,53,470.8,2020-09-10
97362,49,1129.6,2020-09-10
97365,314,2922.6,2020-09-10
97366,10,684.9,2020-09-10
97367,84,892.1,2020-09-10
97368,-1,-1,2020-09-10
97370,30,362.7,2020-09-10
97374,12,227.9,2020-09-10
97375,12,958.5,2020-09-10
97376,-1,-1,2020-09-10
97378,26,292.7,2020-09-10
97380,13,530.8,2020-09-10
97381,104,707,2020-09-10
97383,50,521.5,2020-09-10
97385,21,644.8,2020-09-10
97386,17,125.3,2020-09-10
97389,-1,-1,2020-09-10
97391,18,336.8,2020-09-10
97392,29,558.7,2020-09-10
97394,-1,-1,2020-09-10
97396,-1,-1,2020-09-10
97401,114,281.3,2020-09-10
97402,139,276.1,2020-09-10
97403,27,232.3,2020-09-10
97404,61,189.1,2020-09-10
97405,64,143.4,2020-09-10
97408,36,307.4,2020-09-10
97411,-1,-1,2020-09-10
97415,18,128.1,2020-09-10
97417,-1,-1,2020-09-10
97419,-1,-1,2020-09-10
97420,52,189.3,2020-09-10
97423,13,190.9,2020-09-10
97424,31,176.2,2020-09-10
97426,15,154.4,2020-09-10
97431,-1,-1,2020-09-10
97435,-1,-1,2020-09-10
97437,-1,-1,2020-09-10
97438,-1,-1,2020-09-10
97439,20,139.4,2020-09-10
97442,-1,-1,2020-09-10
97443,-1,-1,2020-09-10
97444,-1,-1,2020-09-10
97446,21,436.4,2020-09-10
97448,13,106.2,2020-09-10
97449,0,0,2020-09-10
97452,-1,-1,2020-09-10
97454,0,0,2020-09-10
97455,-1,-1,2020-09-10
97456,-1,-1,2020-09-10
97457,10,98,2020-09-10
97458,-1,-1,2020-09-10
97459,51,361.8,2020-09-10
97462,11,279.3,2020-09-10
97463,-1,-1,2020-09-10
97465,0,0,2020-09-10
97467,-1,-1,2020-09-10
97469,-1,-1,2020-09-10
97470,35,175.1,2020-09-10
