ZIP code,Case count,"Cases per 100,000",Date
97002,86,1529.4,2020-11-18
97003,396,1529.9,2020-11-18
97004,35,797.6,2020-11-18
97005,497,1995.5,2020-11-18
97006,661,1048.6,2020-11-18
97007,633,945.4,2020-11-18
97008,336,1159.9,2020-11-18
97009,129,1661.9,2020-11-18
97013,441,1943.8,2020-11-18
97014,13,1009.3,2020-11-18
97015,405,2074.7,2020-11-18
97016,41,674,2020-11-18
97017,11,376.5,2020-11-18
97018,15,768.4,2020-11-18
97019,51,1613.4,2020-11-18
97021,-1,-1,2020-11-18
97022,41,1101.6,2020-11-18
97023,104,1057.8,2020-11-18
97024,372,3632.1,2020-11-18
97026,161,4220.2,2020-11-18
97027,103,849.1,2020-11-18
97030,928,2529.1,2020-11-18
97031,247,1344.2,2020-11-18
97032,148,2934.8,2020-11-18
97034,158,835.8,2020-11-18
97035,191,798.8,2020-11-18
97038,188,1244,2020-11-18
97040,11,884.2,2020-11-18
97041,48,1703.9,2020-11-18
97042,29,992.1,2020-11-18
97045,569,1107.9,2020-11-18
97048,70,1046.2,2020-11-18
97049,16,842.5,2020-11-18
97051,121,758.3,2020-11-18
97053,16,492.8,2020-11-18
97054,-1,-1,2020-11-18
97055,209,1204.6,2020-11-18
97056,75,652.3,2020-11-18
97058,373,1880.2,2020-11-18
97060,478,2252,2020-11-18
97062,466,1698.6,2020-11-18
97063,-1,-1,2020-11-18
97064,17,490.8,2020-11-18
97067,18,841.9,2020-11-18
97068,217,766.6,2020-11-18
97070,281,1340.8,2020-11-18
97071,1458,5062,2020-11-18
97078,450,2099.8,2020-11-18
97080,917,2242.7,2020-11-18
97086,473,1818.5,2020-11-18
97089,174,1451.7,2020-11-18
97101,43,1133.4,2020-11-18
97103,99,587.2,2020-11-18
97106,40,879.1,2020-11-18
97107,-1,-1,2020-11-18
97110,-1,-1,2020-11-18
97111,38,1204.1,2020-11-18
97112,-1,-1,2020-11-18
97113,490,3461.7,2020-11-18
97114,104,2184,2020-11-18
97115,45,1087.2,2020-11-18
97116,528,2190.5,2020-11-18
97119,37,837.1,2020-11-18
97121,12,867.7,2020-11-18
97123,1023,2297,2020-11-18
97124,637,1317.5,2020-11-18
97127,61,1631,2020-11-18
97128,674,1864.9,2020-11-18
97131,-1,-1,2020-11-18
97132,315,1113.9,2020-11-18
97133,36,900,2020-11-18
97136,-1,-1,2020-11-18
97137,16,1224.2,2020-11-18
97138,65,648.6,2020-11-18
97140,182,775.3,2020-11-18
97141,58,441.4,2020-11-18
97146,100,1693.5,2020-11-18
97148,31,910.2,2020-11-18
97201,135,871.9,2020-11-18
97202,285,735.3,2020-11-18
97203,570,1836.2,2020-11-18
97204,19,1834,2020-11-18
97205,46,598.3,2020-11-18
97206,602,1264.8,2020-11-18
97209,250,1672.2,2020-11-18
97210,76,698.1,2020-11-18
97211,340,1087.9,2020-11-18
97212,158,654.9,2020-11-18
97213,260,889.8,2020-11-18
97214,218,915.5,2020-11-18
97215,163,995.4,2020-11-18
97216,323,2071.3,2020-11-18
97217,367,1167.4,2020-11-18
97218,383,2630.3,2020-11-18
97219,332,857.7,2020-11-18
97220,582,2042.5,2020-11-18
97221,89,765.3,2020-11-18
97222,419,1197.9,2020-11-18
97223,521,1115.7,2020-11-18
97224,346,1111.8,2020-11-18
97225,221,914.1,2020-11-18
97227,59,1533.7,2020-11-18
97229,442,759.2,2020-11-18
97230,1013,2548.3,2020-11-18
97231,30,700.9,2020-11-18
97232,101,880.4,2020-11-18
97233,1472,3739.2,2020-11-18
97236,1244,3375.7,2020-11-18
97239,145,1024.7,2020-11-18
97266,726,2180.2,2020-11-18
97267,380,1232.2,2020-11-18
97301,1337,2498.2,2020-11-18
97302,419,1128.4,2020-11-18
97303,740,1914,2020-11-18
97304,463,1627.2,2020-11-18
97305,1285,3198.4,2020-11-18
97306,412,1505.8,2020-11-18
97317,553,2270.6,2020-11-18
97321,249,998.9,2020-11-18
97322,367,1078.2,2020-11-18
97324,-1,-1,2020-11-18
97325,73,1103.7,2020-11-18
97327,13,452.8,2020-11-18
97330,297,716.1,2020-11-18
97331,32,1328.9,2020-11-18
97333,139,650.2,2020-11-18
97338,111,553.8,2020-11-18
97341,-1,-1,2020-11-18
97344,-1,-1,2020-11-18
97347,15,798.7,2020-11-18
97348,-1,-1,2020-11-18
97351,190,1843.4,2020-11-18
97352,49,874.4,2020-11-18
97355,294,1027.5,2020-11-18
97358,10,388.2,2020-11-18
97360,-1,-1,2020-11-18
97361,114,1012.6,2020-11-18
97362,95,2189.9,2020-11-18
97365,339,3155.2,2020-11-18
97366,10,684.9,2020-11-18
97367,105,1115.1,2020-11-18
97368,-1,-1,2020-11-18
97370,60,725.4,2020-11-18
97374,36,683.6,2020-11-18
97375,18,1437.7,2020-11-18
97376,-1,-1,2020-11-18
97378,36,405.3,2020-11-18
97380,16,653.3,2020-11-18
97381,208,1413.9,2020-11-18
97383,112,1168.2,2020-11-18
97385,34,1043.9,2020-11-18
97386,63,464.4,2020-11-18
97389,20,1193.3,2020-11-18
97391,28,524,2020-11-18
97392,69,1329.2,2020-11-18
97394,11,236.9,2020-11-18
97396,15,475.6,2020-11-18
97401,639,1577,2020-11-18
97402,515,1023,2020-11-18
97403,184,1583.2,2020-11-18
97404,288,892.9,2020-11-18
97405,223,499.5,2020-11-18
97408,118,1007.6,2020-11-18
97411,11,158.2,2020-11-18
97415,56,398.5,2020-11-18
97417,-1,-1,2020-11-18
97419,12,1125.7,2020-11-18
97420,174,633.3,2020-11-18
97423,20,293.7,2020-11-18
97424,94,534.3,2020-11-18
97426,51,524.9,2020-11-18
97431,-1,-1,2020-11-18
97435,-1,-1,2020-11-18
97437,10,388.8,2020-11-18
97438,10,839.6,2020-11-18
97439,38,264.9,2020-11-18
97442,-1,-1,2020-11-18
97443,11,492.8,2020-11-18
97444,19,366.7,2020-11-18
97446,54,1122.2,2020-11-18
97448,95,775.9,2020-11-18
97449,-1,-1,2020-11-18
97452,-1,-1,2020-11-18
97454,-1,-1,2020-11-18
97455,20,788,2020-11-18
97456,19,636.5,2020-11-18
97457,67,656.3,2020-11-18
97458,-1,-1,2020-11-18
97459,103,730.7,2020-11-18
97462,26,660.2,2020-11-18
97463,17,438.5,2020-11-18
97465,-1,-1,2020-11-18
97467,29,543.2,2020-11-18
97469,-1,-1,2020-11-18
97470,136,680.5,2020-11-18
97471,162,556.7,2020-11-18
97477,315,854.3,2020-11-18
97478,322,870,2020-11-18
97479,96,1010,2020-11-18
97487,59,698.3,2020-11-18
97488,-1,-1,2020-11-18
97495,-1,-1,2020-11-18
97496,28,366.8,2020-11-18
97497,-1,-1,2020-11-18
97498,-1,-1,2020-11-18
97499,-1,-1,2020-11-18
97501,958,2274.6,2020-11-18
97502,371,1339.6,2020-11-18
97503,305,2897,2020-11-18
97504,628,1413,2020-11-18
97520,160,653.9,2020-11-18
97523,18,287.4,2020-11-18
97524,160,1106.6,2020-11-18
97525,37,804.2,2020-11-18
97526,138,403.4,2020-11-18
97527,136,403.4,2020-11-18
97530,60,867.6,2020-11-18
97532,11,462.6,2020-11-18
97535,55,1089.8,2020-11-18
97537,34,491.5,2020-11-18
97538,-1,-1,2020-11-18
97539,16,480.6,2020-11-18
97540,77,971,2020-11-18
97541,-1,-1,2020-11-18
97544,-1,-1,2020-11-18
97601,180,801.5,2020-11-18
97603,243,823,2020-11-18
97623,11,476.2,2020-11-18
97624,37,1057.1,2020-11-18
97630,43,843.8,2020-11-18
97632,11,750.3,2020-11-18
97633,18,1322.6,2020-11-18
97641,15,1142.4,2020-11-18
97701,431,730.6,2020-11-18
97702,490,1207.4,2020-11-18
97703,263,792.5,2020-11-18
97707,25,430,2020-11-18
97708,-1,-1,2020-11-18
97720,35,772.6,2020-11-18
97734,36,1292.2,2020-11-18
97738,26,1339.5,2020-11-18
97739,35,317.7,2020-11-18
97741,246,2065.1,2020-11-18
97753,12,595.2,2020-11-18
97754,154,829.1,2020-11-18
97756,323,962.6,2020-11-18
97759,61,969.2,2020-11-18
97760,47,695.6,2020-11-18
97761,380,9531,2020-11-18
97801,913,4242.4,2020-11-18
97813,17,1305.7,2020-11-18
97814,170,1373,2020-11-18
97818,402,9665.8,2020-11-18
97820,-1,-1,2020-11-18
97824,15,903.1,2020-11-18
97826,31,2857.1,2020-11-18
97827,26,989.3,2020-11-18
97828,25,800.3,2020-11-18
97836,14,706,2020-11-18
97838,1861,7342.4,2020-11-18
97844,163,4282.7,2020-11-18
97845,36,1357.5,2020-11-18
97846,13,687.5,2020-11-18
97850,517,3049.2,2020-11-18
97862,268,2297.3,2020-11-18
97865,-1,-1,2020-11-18
97868,39,1958.8,2020-11-18
97869,-1,-1,2020-11-18
97875,151,5785.4,2020-11-18
97882,553,7126.3,2020-11-18
97883,19,768.3,2020-11-18
97885,24,1735.4,2020-11-18
97886,15,1315.8,2020-11-18
