ZIP code,Case count,"Cases per 100,000",report_date
97002,103,1831.8,2020-11-25
97003,448,1730.8,2020-11-25
97004,41,934.4,2020-11-25
97005,560,2248.5,2020-11-25
97006,738,1170.8,2020-11-25
97007,728,1087.3,2020-11-25
97008,396,1367,2020-11-25
97009,157,2022.7,2020-11-25
97013,489,2155.3,2020-11-25
97014,14,1087,2020-11-25
97015,485,2484.5,2020-11-25
97016,48,789.1,2020-11-25
97017,12,410.7,2020-11-25
97018,18,922.1,2020-11-25
97019,57,1803.2,2020-11-25
97021,-1,-1,2020-11-25
97022,46,1235.9,2020-11-25
97023,123,1251,2020-11-25
97024,411,4012.9,2020-11-25
97026,174,4560.9,2020-11-25
97027,116,956.2,2020-11-25
97030,1115,3038.7,2020-11-25
97031,285,1551,2020-11-25
97032,165,3271.9,2020-11-25
97034,185,978.6,2020-11-25
97035,235,982.8,2020-11-25
97038,216,1429.2,2020-11-25
97040,13,1045,2020-11-25
97041,51,1810.4,2020-11-25
97042,36,1231.6,2020-11-25
97045,689,1341.5,2020-11-25
97048,76,1135.9,2020-11-25
97049,17,895.2,2020-11-25
97051,144,902.4,2020-11-25
97053,21,646.8,2020-11-25
97054,-1,-1,2020-11-25
97055,247,1423.6,2020-11-25
97056,106,922,2020-11-25
97058,430,2167.6,2020-11-25
97060,539,2539.3,2020-11-25
97062,546,1990.2,2020-11-25
97063,-1,-1,2020-11-25
97064,22,635.1,2020-11-25
97067,23,1075.8,2020-11-25
97068,264,932.7,2020-11-25
97070,323,1541.3,2020-11-25
97071,1579,5482.1,2020-11-25
97078,499,2328.4,2020-11-25
97080,1054,2577.8,2020-11-25
97086,540,2076.1,2020-11-25
97089,213,1777.1,2020-11-25
97101,48,1265.2,2020-11-25
97103,116,688.1,2020-11-25
97106,42,923.1,2020-11-25
97107,-1,-1,2020-11-25
97110,-1,-1,2020-11-25
97111,47,1489.2,2020-11-25
97112,-1,-1,2020-11-25
97113,535,3779.6,2020-11-25
97114,132,2771.9,2020-11-25
97115,51,1232.2,2020-11-25
97116,580,2406.2,2020-11-25
97119,39,882.4,2020-11-25
97121,12,867.7,2020-11-25
97123,1141,2561.9,2020-11-25
97124,731,1511.9,2020-11-25
97127,72,1925.1,2020-11-25
97128,754,2086.3,2020-11-25
97131,-1,-1,2020-11-25
97132,378,1336.7,2020-11-25
97133,49,1225,2020-11-25
97136,-1,-1,2020-11-25
97137,17,1300.7,2020-11-25
97138,77,768.4,2020-11-25
97140,245,1043.7,2020-11-25
97141,62,471.8,2020-11-25
97146,102,1727.3,2020-11-25
97148,34,998.2,2020-11-25
97201,161,1039.8,2020-11-25
97202,336,866.8,2020-11-25
97203,660,2126.2,2020-11-25
97204,20,1930.5,2020-11-25
97205,54,702.4,2020-11-25
97206,693,1456,2020-11-25
97209,359,2401.3,2020-11-25
97210,90,826.7,2020-11-25
97211,391,1251,2020-11-25
97212,190,787.5,2020-11-25
97213,323,1105.4,2020-11-25
97214,247,1037.2,2020-11-25
97215,196,1196.9,2020-11-25
97216,380,2436.8,2020-11-25
97217,438,1393.2,2020-11-25
97218,459,3152.3,2020-11-25
97219,389,1004.9,2020-11-25
97220,673,2361.8,2020-11-25
97221,99,851.2,2020-11-25
97222,492,1406.6,2020-11-25
97223,624,1336.2,2020-11-25
97224,400,1285.3,2020-11-25
97225,252,1042.4,2020-11-25
97227,76,1975.6,2020-11-25
97229,502,862.3,2020-11-25
97230,1192,2998.6,2020-11-25
97231,32,747.7,2020-11-25
97232,130,1133.2,2020-11-25
97233,1667,4234.5,2020-11-25
97236,1447,3926.5,2020-11-25
97239,168,1187.3,2020-11-25
97266,904,2714.7,2020-11-25
97267,441,1430,2020-11-25
97301,1471,2748.6,2020-11-25
97302,479,1290,2020-11-25
97303,834,2157.1,2020-11-25
97304,524,1841.6,2020-11-25
97305,1423,3541.9,2020-11-25
97306,459,1677.6,2020-11-25
97317,622,2553.9,2020-11-25
97321,291,1167.4,2020-11-25
97322,414,1216.3,2020-11-25
97324,-1,-1,2020-11-25
97325,80,1209.6,2020-11-25
97327,15,522.5,2020-11-25
97330,345,831.9,2020-11-25
97331,32,1328.9,2020-11-25
97333,169,790.6,2020-11-25
97338,138,688.5,2020-11-25
97341,-1,-1,2020-11-25
97344,-1,-1,2020-11-25
97347,17,905.2,2020-11-25
97348,11,676.9,2020-11-25
97351,235,2280,2020-11-25
97352,55,981.4,2020-11-25
97355,331,1156.8,2020-11-25
97358,12,465.8,2020-11-25
97360,10,444.6,2020-11-25
97361,145,1288,2020-11-25
97362,103,2374.4,2020-11-25
97365,341,3173.9,2020-11-25
97366,10,684.9,2020-11-25
97367,116,1231.9,2020-11-25
97368,-1,-1,2020-11-25
97370,65,785.9,2020-11-25
97374,38,721.6,2020-11-25
97375,19,1517.6,2020-11-25
97376,-1,-1,2020-11-25
97378,46,517.9,2020-11-25
97380,16,653.3,2020-11-25
97381,239,1624.6,2020-11-25
97383,138,1439.4,2020-11-25
97385,40,1228.1,2020-11-25
97386,77,567.6,2020-11-25
97389,22,1312.6,2020-11-25
97391,28,524,2020-11-25
97392,77,1483.3,2020-11-25
97394,13,280,2020-11-25
97396,16,507.3,2020-11-25
97401,713,1759.6,2020-11-25
97402,615,1221.6,2020-11-25
97403,196,1686.5,2020-11-25
97404,327,1013.8,2020-11-25
97405,266,595.8,2020-11-25
97408,131,1118.6,2020-11-25
97411,13,187,2020-11-25
97415,72,512.4,2020-11-25
97417,11,451,2020-11-25
97419,12,1125.7,2020-11-25
97420,198,720.7,2020-11-25
97423,21,308.4,2020-11-25
97424,102,579.7,2020-11-25
97426,61,627.8,2020-11-25
97431,13,556.7,2020-11-25
97435,11,468.3,2020-11-25
97437,12,466.6,2020-11-25
97438,11,923.6,2020-11-25
97439,41,285.9,2020-11-25
97442,-1,-1,2020-11-25
97443,12,537.6,2020-11-25
97444,22,424.6,2020-11-25
97446,80,1662.5,2020-11-25
97448,137,1118.9,2020-11-25
97449,-1,-1,2020-11-25
97452,10,704.2,2020-11-25
97454,-1,-1,2020-11-25
97455,22,866.8,2020-11-25
97456,20,670,2020-11-25
97457,82,803.3,2020-11-25
97458,10,211.3,2020-11-25
97459,112,794.6,2020-11-25
97462,30,761.8,2020-11-25
97463,27,696.4,2020-11-25
97465,-1,-1,2020-11-25
97467,48,899,2020-11-25
97469,15,577.8,2020-11-25
97470,180,900.7,2020-11-25
97471,227,780.1,2020-11-25
97477,398,1079.4,2020-11-25
97478,408,1102.4,2020-11-25
97479,111,1167.8,2020-11-25
97487,71,840.3,2020-11-25
97488,-1,-1,2020-11-25
97495,11,758.6,2020-11-25
97496,38,497.8,2020-11-25
97497,-1,-1,2020-11-25
97498,-1,-1,2020-11-25
97499,-1,-1,2020-11-25
97501,1119,2656.9,2020-11-25
97502,443,1599.6,2020-11-25
97503,339,3220,2020-11-25
97504,779,1752.8,2020-11-25
97520,193,788.8,2020-11-25
97523,25,399.1,2020-11-25
97524,189,1307.1,2020-11-25
97525,40,869.4,2020-11-25
97526,171,499.9,2020-11-25
97527,172,510.2,2020-11-25
97530,73,1055.5,2020-11-25
97532,14,588.7,2020-11-25
97535,70,1387,2020-11-25
97537,40,578.2,2020-11-25
97538,10,484.7,2020-11-25
97539,18,540.7,2020-11-25
97540,89,1122.3,2020-11-25
97541,-1,-1,2020-11-25
97544,-1,-1,2020-11-25
97601,222,988.5,2020-11-25
97603,327,1107.5,2020-11-25
97623,14,606.1,2020-11-25
97624,38,1085.7,2020-11-25
97630,77,1511,2020-11-25
97632,15,1023.2,2020-11-25
97633,28,2057.3,2020-11-25
97641,16,1218.6,2020-11-25
97701,494,837.4,2020-11-25
97702,567,1397.1,2020-11-25
97703,301,907,2020-11-25
97707,27,464.4,2020-11-25
97708,10,46.7,2020-11-25
97720,51,1125.8,2020-11-25
97734,45,1615.2,2020-11-25
97738,32,1648.6,2020-11-25
97739,39,354,2020-11-25
97741,274,2300.2,2020-11-25
97753,15,744,2020-11-25
97754,181,974.5,2020-11-25
97756,391,1165.3,2020-11-25
97759,78,1239.3,2020-11-25
97760,55,814,2020-11-25
97761,420,10534.2,2020-11-25
97801,999,4642,2020-11-25
97813,19,1459.3,2020-11-25
97814,200,1615.2,2020-11-25
97818,416,10002.4,2020-11-25
97820,15,1369.9,2020-11-25
97824,21,1264.3,2020-11-25
97826,32,2949.3,2020-11-25
97827,30,1141.6,2020-11-25
97828,25,800.3,2020-11-25
97836,19,958.1,2020-11-25
97838,1962,7740.9,2020-11-25
97844,175,4598,2020-11-25
97845,63,2375.6,2020-11-25
97846,13,687.5,2020-11-25
97850,580,3420.8,2020-11-25
97862,301,2580.1,2020-11-25
97865,16,1379.3,2020-11-25
97868,44,2209.9,2020-11-25
97869,-1,-1,2020-11-25
97875,162,6206.9,2020-11-25
97882,579,7461.3,2020-11-25
97883,32,1294,2020-11-25
97885,25,1807.7,2020-11-25
97886,18,1578.9,2020-11-25
97913,405,7327.7,2020-11-25
97914,1645,8565.5,2020-11-25
97918,204,4496.4,2020-11-25
