ZIP Code,Case Count,"Cases Per 100,000",report_date
97002,146,2596.5,2020-12-09
97003,625,2414.6,2020-12-09
97004,54,1230.6,2020-12-09
97005,757,3039.4,2020-12-09
97006,998,1583.2,2020-12-09
97007,1007,1504,2020-12-09
97008,577,1991.8,2020-12-09
97009,202,2602.4,2020-12-09
97013,683,3010.4,2020-12-09
97014,23,1785.7,2020-12-09
97015,671,3437.3,2020-12-09
97016,62,1019.2,2020-12-09
97017,26,889.8,2020-12-09
97018,27,1383.2,2020-12-09
97019,64,2024.7,2020-12-09
97021,17,1561.1,2020-12-09
97022,60,1612,2020-12-09
97023,178,1810.4,2020-12-09
97024,517,5047.8,2020-12-09
97026,205,5373.5,2020-12-09
97027,174,1434.3,2020-12-09
97030,1479,4030.7,2020-12-09
97031,410,2231.3,2020-12-09
97032,218,4322.8,2020-12-09
97034,239,1264.2,2020-12-09
97035,307,1283.9,2020-12-09
97038,299,1978.4,2020-12-09
97040,16,1286.2,2020-12-09
97041,62,2200.9,2020-12-09
97042,43,1471.1,2020-12-09
97045,1057,2058.1,2020-12-09
97048,89,1330.1,2020-12-09
97049,18,947.9,2020-12-09
97051,201,1259.6,2020-12-09
97053,27,831.5,2020-12-09
97054,-1,-1,2020-12-09
97055,394,2270.9,2020-12-09
97056,169,1469.9,2020-12-09
97058,580,2923.7,2020-12-09
97060,711,3349.7,2020-12-09
97062,762,2777.6,2020-12-09
97063,-1,-1,2020-12-09
97064,27,779.4,2020-12-09
97067,29,1356.4,2020-12-09
97068,351,1240.1,2020-12-09
97070,424,2023.2,2020-12-09
97071,1964,6818.7,2020-12-09
97078,639,2981.7,2020-12-09
97080,1365,3338.4,2020-12-09
97086,748,2875.8,2020-12-09
97089,302,2519.6,2020-12-09
97101,53,1396.9,2020-12-09
97103,155,919.4,2020-12-09
97106,60,1318.7,2020-12-09
97107,-1,-1,2020-12-09
97110,10,778.8,2020-12-09
97111,53,1679.3,2020-12-09
97112,16,841.7,2020-12-09
97113,714,5044.2,2020-12-09
97114,152,3191.9,2020-12-09
97115,61,1473.8,2020-12-09
97116,833,3455.9,2020-12-09
97119,73,1651.6,2020-12-09
97121,19,1373.8,2020-12-09
97123,1583,3554.3,2020-12-09
97124,1031,2132.4,2020-12-09
97127,101,2700.5,2020-12-09
97128,936,2589.9,2020-12-09
97131,-1,-1,2020-12-09
97132,532,1881.3,2020-12-09
97133,69,1725,2020-12-09
97136,10,567.9,2020-12-09
97137,24,1836.3,2020-12-09
97138,113,1127.6,2020-12-09
97140,372,1584.7,2020-12-09
97141,100,761,2020-12-09
97146,110,1862.8,2020-12-09
97148,43,1262.5,2020-12-09
97201,208,1343.3,2020-12-09
97202,461,1189.3,2020-12-09
97203,829,2670.6,2020-12-09
97204,29,2799.2,2020-12-09
97205,72,936.5,2020-12-09
97206,927,1947.6,2020-12-09
97209,576,3852.8,2020-12-09
97210,118,1083.9,2020-12-09
97211,533,1705.4,2020-12-09
97212,245,1015.5,2020-12-09
97213,445,1523,2020-12-09
97214,312,1310.2,2020-12-09
97215,260,1587.8,2020-12-09
97216,503,3225.6,2020-12-09
97217,579,1841.7,2020-12-09
97218,576,3955.8,2020-12-09
97219,499,1289.1,2020-12-09
97220,917,3218.1,2020-12-09
97221,125,1074.8,2020-12-09
97222,673,1924,2020-12-09
97223,895,1916.5,2020-12-09
97224,531,1706.2,2020-12-09
97225,326,1348.4,2020-12-09
97227,92,2391.5,2020-12-09
97229,717,1231.6,2020-12-09
97230,1544,3884.1,2020-12-09
97231,46,1074.8,2020-12-09
97232,180,1569,2020-12-09
97233,2126,5400.5,2020-12-09
97236,1922,5215.5,2020-12-09
97239,204,1441.7,2020-12-09
97266,1273,3822.8,2020-12-09
97267,582,1887.2,2020-12-09
97301,1917,3582,2020-12-09
97302,647,1742.5,2020-12-09
97303,1082,2798.5,2020-12-09
97304,676,2375.8,2020-12-09
97305,1784,4440.5,2020-12-09
97306,617,2255.1,2020-12-09
97317,788,3235.5,2020-12-09
97321,409,1640.7,2020-12-09
97322,623,1830.3,2020-12-09
97324,12,1065.7,2020-12-09
97325,120,1814.3,2020-12-09
97327,34,1184.3,2020-12-09
97330,446,1075.4,2020-12-09
97331,37,1536.5,2020-12-09
97333,224,1047.9,2020-12-09
97338,235,1172.4,2020-12-09
97341,13,559.1,2020-12-09
97344,-1,-1,2020-12-09
97347,31,1650.7,2020-12-09
97348,33,2030.8,2020-12-09
97351,321,3114.4,2020-12-09
97352,93,1659.5,2020-12-09
97355,480,1677.6,2020-12-09
97358,19,737.6,2020-12-09
97360,12,533.6,2020-12-09
97361,199,1767.6,2020-12-09
97362,148,3411.7,2020-12-09
97365,377,3508.9,2020-12-09
97366,12,821.9,2020-12-09
97367,142,1508.1,2020-12-09
97368,23,669.6,2020-12-09
97370,87,1051.9,2020-12-09
97374,59,1120.4,2020-12-09
97375,20,1597.4,2020-12-09
97376,-1,-1,2020-12-09
97378,72,810.6,2020-12-09
97380,40,1633.3,2020-12-09
97381,278,1889.7,2020-12-09
97383,188,1961,2020-12-09
97385,52,1596.6,2020-12-09
97386,124,914,2020-12-09
97389,37,2207.6,2020-12-09
97391,48,898.2,2020-12-09
97392,110,2119.1,2020-12-09
97394,24,516.9,2020-12-09
97396,34,1078,2020-12-09
97401,864,2132.2,2020-12-09
97402,846,1680.5,2020-12-09
97403,228,1961.8,2020-12-09
97404,421,1305.2,2020-12-09
97405,347,777.2,2020-12-09
97408,168,1434.5,2020-12-09
97411,30,431.5,2020-12-09
97415,123,875.4,2020-12-09
97417,52,2132,2020-12-09
97419,15,1407.1,2020-12-09
97420,261,950,2020-12-09
97423,37,543.4,2020-12-09
97424,143,812.8,2020-12-09
97426,128,1317.4,2020-12-09
97431,23,985,2020-12-09
97435,14,596,2020-12-09
97437,22,855.4,2020-12-09
97438,13,1091.5,2020-12-09
97439,54,376.5,2020-12-09
97442,10,448,2020-12-09
97443,17,761.6,2020-12-09
97444,28,540.4,2020-12-09
97446,110,2286,2020-12-09
97448,199,1625.3,2020-12-09
97449,10,510.5,2020-12-09
97452,14,985.9,2020-12-09
97454,15,1121.9,2020-12-09
97455,30,1182,2020-12-09
97456,26,871,2020-12-09
97457,104,1018.8,2020-12-09
97458,14,295.8,2020-12-09
97459,132,936.4,2020-12-09
97462,46,1168.1,2020-12-09
97463,46,1186.5,2020-12-09
97465,-1,-1,2020-12-09
97467,55,1030.2,2020-12-09
97469,28,1078.6,2020-12-09
97470,222,1110.8,2020-12-09
97471,314,1079,2020-12-09
97477,558,1513.3,2020-12-09
97478,578,1561.7,2020-12-09
97479,131,1378.2,2020-12-09
97487,95,1124.4,2020-12-09
97488,-1,-1,2020-12-09
97495,13,896.6,2020-12-09
97496,61,799.1,2020-12-09
97497,-1,-1,2020-12-09
97498,-1,-1,2020-12-09
97499,-1,-1,2020-12-09
97501,1449,3440.4,2020-12-09
97502,602,2173.8,2020-12-09
97503,432,4103.3,2020-12-09
97504,1022,2299.5,2020-12-09
97520,266,1087.1,2020-12-09
97523,41,654.5,2020-12-09
97524,268,1853.5,2020-12-09
97525,63,1369.3,2020-12-09
97526,287,839.1,2020-12-09
97527,279,827.6,2020-12-09
97530,100,1445.9,2020-12-09
97532,25,1051.3,2020-12-09
97535,90,1783.2,2020-12-09
97537,63,910.7,2020-12-09
97538,17,824,2020-12-09
97539,29,871.1,2020-12-09
97540,114,1437.6,2020-12-09
97541,14,947.2,2020-12-09
97544,-1,-1,2020-12-09
97601,412,1834.5,2020-12-09
97603,600,2032.2,2020-12-09
97623,20,865.8,2020-12-09
97624,55,1571.4,2020-12-09
97630,126,2472.5,2020-12-09
97632,47,3206,2020-12-09
97633,47,3453.3,2020-12-09
97641,22,1675.6,2020-12-09
97701,712,1206.9,2020-12-09
97702,810,1995.9,2020-12-09
97703,439,1322.8,2020-12-09
97707,51,877.2,2020-12-09
97708,15,70,2020-12-09
97720,65,1434.9,2020-12-09
97734,63,2261.3,2020-12-09
97738,39,2009.3,2020-12-09
97739,71,644.4,2020-12-09
97741,386,3240.4,2020-12-09
97753,22,1091.3,2020-12-09
97754,281,1512.9,2020-12-09
97756,669,1993.8,2020-12-09
97759,109,1731.8,2020-12-09
97760,103,1524.3,2020-12-09
97761,522,13092.6,2020-12-09
97801,1148,5334.3,2020-12-09
97813,28,2150.5,2020-12-09
97814,257,2075.6,2020-12-09
97818,463,11132.5,2020-12-09
97820,20,1826.5,2020-12-09
97824,29,1745.9,2020-12-09
97826,35,3225.8,2020-12-09
97827,39,1484,2020-12-09
97828,25,800.3,2020-12-09
97836,28,1412,2020-12-09
97838,2182,8608.9,2020-12-09
97844,204,5360,2020-12-09
97845,74,2790.3,2020-12-09
97846,13,687.5,2020-12-09
97850,685,4040.1,2020-12-09
97862,399,3420.2,2020-12-09
97865,23,1982.8,2020-12-09
97868,49,2461.1,2020-12-09
97869,18,1585.9,2020-12-09
97875,191,7318,2020-12-09
97882,623,8028.4,2020-12-09
97883,46,1860.1,2020-12-09
97885,27,1952.3,2020-12-09
97886,31,2719.3,2020-12-09
97913,447,8087.6,2020-12-09
97914,1811,9429.8,2020-12-09
97918,245,5400,2020-12-09
